"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","key_press","test_part","next_elem","responses","question_order"
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","84","192450","0.0-8.0-0.0-0.1","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","85","193552","0.0-8.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","86","194655","0.0-8.0-0.0-0.3","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","87","195757","0.0-8.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","88","196859","0.0-8.0-0.0-0.5","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","89","197961","0.0-8.0-0.0-0.6","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","90","199063","0.0-8.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","91","200165","0.0-8.0-0.0-0.8","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","92","201267","0.0-8.0-0.0-0.9","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","93","202369","0.0-8.0-0.0-0.10","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","94","203471","0.0-8.0-0.0-0.11","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","95","204573","0.0-8.0-0.0-0.12","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","96","205675","0.0-8.0-0.0-0.13","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","97","206777","0.0-8.0-0.0-0.14","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","98","207879","0.0-8.0-0.0-0.15","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","99","208981","0.0-8.0-0.0-0.16","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","100","210083","0.0-8.0-0.0-0.17","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","101","211185","0.0-8.0-0.0-0.18","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","102","212287","0.0-8.0-0.0-0.19","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","103","213390","0.0-8.0-0.0-0.20","null","test","C","",""
"609","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","104","214300","0.0-8.0-0.0-0.21","32","test","C","",""
"null","","","html-keyboard-response","105","214602","0.0-8.0-0.0-0.22","null","test","A","",""
"5414","","","survey-likert","106","220017","0.0-8.0-1.0","","","","{""Q0"":2}","[0]"
"18556","","","survey-multi-choice","107","238575","0.0-8.0-2.0","","","","{""Q0"":""C""}","[0]"
"1185.999999999971","Correct! + $1","0","html-button-response","108","239762","0.0-8.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","109","240564","0.0-9.0-0.0-0.0","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","110","241667","0.0-9.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","111","242770","0.0-9.0-0.0-0.2","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","112","243872","0.0-9.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","113","244974","0.0-9.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","114","246076","0.0-9.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","115","247179","0.0-9.0-0.0-0.6","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","116","248282","0.0-9.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","117","249384","0.0-9.0-0.0-0.8","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","118","250486","0.0-9.0-0.0-0.9","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","119","251589","0.0-9.0-0.0-0.10","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","120","252692","0.0-9.0-0.0-0.11","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","121","253794","0.0-9.0-0.0-0.12","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","122","254897","0.0-9.0-0.0-0.13","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","123","255999","0.0-9.0-0.0-0.14","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","124","257102","0.0-9.0-0.0-0.15","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","125","258203","0.0-9.0-0.0-0.16","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","126","259304","0.0-9.0-0.0-0.17","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","127","260406","0.0-9.0-0.0-0.18","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","128","261509","0.0-9.0-0.0-0.19","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","129","262610","0.0-9.0-0.0-0.20","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","130","263713","0.0-9.0-0.0-0.21","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","131","264815","0.0-9.0-0.0-0.22","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","132","265917","0.0-9.0-0.0-0.23","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","133","267019","0.0-9.0-0.0-0.24","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","134","268122","0.0-9.0-0.0-0.25","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","135","269224","0.0-9.0-0.0-0.26","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","136","270328","0.0-9.0-0.0-0.27","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","137","271429","0.0-9.0-0.0-0.28","null","test","A","",""
"15367","","","survey-likert","138","287099","0.0-9.0-1.0","","","","{""Q0"":4}","[0]"
"6278.000000000058","","","survey-multi-choice","139","293378","0.0-9.0-2.0","","","","{""Q0"":""A""}","[0]"
"833","Correct! + $1","0","html-button-response","140","294213","0.0-9.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","141","295015","0.0-10.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","142","296117","0.0-10.0-0.0-0.1","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","143","297219","0.0-10.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","144","298321","0.0-10.0-0.0-0.3","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","145","299423","0.0-10.0-0.0-0.4","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","146","300526","0.0-10.0-0.0-0.5","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","147","301628","0.0-10.0-0.0-0.6","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","148","302730","0.0-10.0-0.0-0.7","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","149","303832","0.0-10.0-0.0-0.8","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","150","304934","0.0-10.0-0.0-0.9","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","151","306036","0.0-10.0-0.0-0.10","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","152","307138","0.0-10.0-0.0-0.11","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","153","308240","0.0-10.0-0.0-0.12","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","154","309341","0.0-10.0-0.0-0.13","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","155","310443","0.0-10.0-0.0-0.14","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","156","311546","0.0-10.0-0.0-0.15","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","157","312649","0.0-10.0-0.0-0.16","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","158","313751","0.0-10.0-0.0-0.17","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","159","314853","0.0-10.0-0.0-0.18","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","160","315955","0.0-10.0-0.0-0.19","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","161","317056","0.0-10.0-0.0-0.20","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","162","318158","0.0-10.0-0.0-0.21","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","163","319259","0.0-10.0-0.0-0.22","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","164","320360","0.0-10.0-0.0-0.23","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","165","321461","0.0-10.0-0.0-0.24","null","test","B","",""
"null","<div style=""font-size:65px;"">B</div>","","html-keyboard-response","166","322563","0.0-10.0-0.0-0.25","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","167","323665","0.0-10.0-0.0-0.26","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","168","324768","0.0-10.0-0.0-0.27","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","169","325870","0.0-10.0-0.0-0.28","null","test","B","",""
"7174","","","survey-likert","170","333346","0.0-10.0-1.0","","","","{""Q0"":1}","[0]"
"3335","","","survey-multi-choice","171","336683","0.0-10.0-2.0","","","","{""Q0"":""A""}","[0]"
"2814","Incorrect! + $0<p> The correct choice was: C","0","html-button-response","172","339498","0.0-10.0-3.0","","","","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","173","340300","0.0-11.0-0.0-0.0","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","174","341403","0.0-11.0-0.0-0.1","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","175","342505","0.0-11.0-0.0-0.2","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","176","343606","0.0-11.0-0.0-0.3","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","177","344708","0.0-11.0-0.0-0.4","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","178","345809","0.0-11.0-0.0-0.5","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","179","346911","0.0-11.0-0.0-0.6","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","180","348014","0.0-11.0-0.0-0.7","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","181","349116","0.0-11.0-0.0-0.8","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","182","350219","0.0-11.0-0.0-0.9","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","183","351320","0.0-11.0-0.0-0.10","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","184","352422","0.0-11.0-0.0-0.11","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","185","353524","0.0-11.0-0.0-0.12","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","186","354625","0.0-11.0-0.0-0.13","null","test","C","",""
"null","<div style=""font-size:65px;"">C</div>","","html-keyboard-response","187","355728","0.0-11.0-0.0-0.14","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","188","356831","0.0-11.0-0.0-0.15","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","189","357933","0.0-11.0-0.0-0.16","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","190","359035","0.0-11.0-0.0-0.17","null","test","A","",""
"null","<div style=""font-size:65px;"">A</div>","","html-keyboard-response","191","360137","0.0-11.0-0.0-0.18","null","test","A","",""
"","","","html-keyboard-response","192","360440","0.0-11.0-0.0-0.19","","test","A","",""
